What does the abbreviation 'AC' stand for in a medical prescription?,Before meal.
What does the abbreviation 'PC' stand for in a medical prescription?,After meal.
Which medical abbreviation is noted as a 'Dangerous abbreviation' meaning 'as needed'?,PRN.
The abbreviation 'HS - BT' indicates that a medication should be taken _____.,At bedtime.
What are the meanings of the abbreviations 'PO' and 'PR' regarding administration routes?,By oral and By rectum.
"What is the meaning of the frequency abbreviations 'BID', 'TID', and 'QID'?","Twice a day, Thrice a day, and Four times a day."
What does the abbreviation 'QOD' stand for?,Every other day.
What does the abbreviation 'Q4H' indicate?,Every 4 hours.
The abbreviations 'BBF' and 'BD' stand for which meal-related timings?,Before breakfast and Before dinner.
What is the metric equivalent of one teaspoonful (TSF)?,$5 ml$.
Which antidote is used for toxicity caused by Anticholinergics like Atropine?,Physostigmine.
What is the specific antidote for Isoniazid (INH) induced toxicity?,Vitamin $B_{6}$ (Pyridoxine).
Which agent is the antidote for Valproic acid toxicity?,L-carnitine.
What is the antidote for Methotrexate (MTX)?,Leucovorin.
Which agent is used to treat Methemoglobinemia induced by Nitrites or Nitrates?,Methylene blue.
What are the two specific antidotes listed for Digoxin toxicity?,Digibind and Digifab.
Which hormone is used as an antidote for Beta blocker overdose?,Glucagon.
"What is the primary antidote for Opioid overdose (Morphine, Heroin, Fentanyl)?",Naloxone.
Which agent acts as the antidote for Benzodiazepines like Diazepam?,Flumazenil.
What is the antidote for Tricyclic Antidepressant (TCA) toxicity?,Sodium bicarbonate.
Which vitamin is the antidote for Warfarin?,Vitamin $K_{1}$ (Phyto-menadione).
What is the specific antidote for Heparin?,Protamine sulfate.
Which specific agent is the antidote for the anticoagulant Dabigatran?,Idarucizumab.
Which two agents can be used as antidotes for Thrombolytics like Streptokinase?,Aminocaproic acid and Tranexamic acid.
What is the treatment sequence for poisoning by Nerve gases or Organophosphorus insecticides?,Atropine followed by Pralidoxime (2-PAM).
What are the components of the 'Cyanide antidote kit' listed in the source?,"Sodium thiosulfate, Amyl nitrite, and Na nitrite."
What is the specific antidote for Methanol and Ethylene glycol poisoning?,Ethanol or Fomepizole.
Which chelating agent is the antidote for Iron (Fe) toxicity?,Deferoxamine.
What is the antidote for Thallium poisoning?,Prussian blue.
Which agent is the antidote for Paracetamol (Acetaminophen) overdose?,N-Acetyl cysteine (NAC).
What treatment is used for Aspirin (Salicylic acid) toxicity?,Alkalinization with $NaHCO_{3}$.
What is the antidote for Sulfonylurea-induced hypoglycemia?,Octreotide.
Which medication is used to control high phosphorus levels in patients with chronic kidney disease on dialysis?,Sevelamer.
